,CPI_US
2015-12-22,237.761
2015-12-23,237.761
2015-12-24,237.761
2015-12-25,237.761
2015-12-28,237.761
2015-12-29,237.761
2015-12-30,237.761
2015-12-31,237.761
2016-01-01,237.652
2016-01-04,237.652
2016-01-05,237.652
2016-01-06,237.652
2016-01-07,237.652
2016-01-08,237.652
2016-01-11,237.652
2016-01-12,237.652
2016-01-13,237.652
2016-01-14,237.652
2016-01-15,237.652
2016-01-18,237.652
2016-01-19,237.652
2016-01-20,237.652
2016-01-21,237.652
2016-01-22,237.652
2016-01-25,237.652
2016-01-26,237.652
2016-01-27,237.652
2016-01-28,237.652
2016-01-29,237.652
2016-02-01,237.336
2016-02-02,237.336
2016-02-03,237.336
2016-02-04,237.336
2016-02-05,237.336
2016-02-08,237.336
2016-02-09,237.336
2016-02-10,237.336
2016-02-11,237.336
2016-02-12,237.336
2016-02-15,237.336
2016-02-16,237.336
2016-02-17,237.336
2016-02-18,237.336
2016-02-19,237.336
2016-02-22,237.336
2016-02-23,237.336
2016-02-24,237.336
2016-02-25,237.336
2016-02-26,237.336
2016-02-29,237.336
2016-03-01,238.08
2016-03-02,238.08
2016-03-03,238.08
2016-03-04,238.08
2016-03-07,238.08
2016-03-08,238.08
2016-03-09,238.08
2016-03-10,238.08
2016-03-11,238.08
2016-03-14,238.08
2016-03-15,238.08
2016-03-16,238.08
2016-03-17,238.08
2016-03-18,238.08
2016-03-21,238.08
2016-03-22,238.08
2016-03-23,238.08
2016-03-24,238.08
2016-03-25,238.08
2016-03-28,238.08
2016-03-29,238.08
2016-03-30,238.08
2016-03-31,238.08
2016-04-01,238.992
2016-04-04,238.992
2016-04-05,238.992
2016-04-06,238.992
2016-04-07,238.992
2016-04-08,238.992
2016-04-11,238.992
2016-04-12,238.992
2016-04-13,238.992
2016-04-14,238.992
2016-04-15,238.992
2016-04-18,238.992
2016-04-19,238.992
2016-04-20,238.992
2016-04-21,238.992
2016-04-22,238.992
2016-04-25,238.992
2016-04-26,238.992
2016-04-27,238.992
2016-04-28,238.992
2016-04-29,238.992
2016-05-02,239.557
2016-05-03,239.557
2016-05-04,239.557
2016-05-05,239.557
2016-05-06,239.557
2016-05-09,239.557
2016-05-10,239.557
2016-05-11,239.557
2016-05-12,239.557
2016-05-13,239.557
2016-05-16,239.557
2016-05-17,239.557
2016-05-18,239.557
2016-05-19,239.557
2016-05-20,239.557
2016-05-23,239.557
2016-05-24,239.557
2016-05-25,239.557
2016-05-26,239.557
2016-05-27,239.557
2016-05-30,239.557
2016-05-31,239.557
2016-06-01,240.222
2016-06-02,240.222
2016-06-03,240.222
2016-06-06,240.222
2016-06-07,240.222
2016-06-08,240.222
2016-06-09,240.222
2016-06-10,240.222
2016-06-13,240.222
2016-06-14,240.222
2016-06-15,240.222
2016-06-16,240.222
2016-06-17,240.222
2016-06-20,240.222
2016-06-21,240.222
2016-06-22,240.222
2016-06-23,240.222
2016-06-24,240.222
2016-06-27,240.222
2016-06-28,240.222
2016-06-29,240.222
2016-06-30,240.222
2016-07-01,240.101
2016-07-04,240.101
2016-07-05,240.101
2016-07-06,240.101
2016-07-07,240.101
2016-07-08,240.101
2016-07-11,240.101
2016-07-12,240.101
2016-07-13,240.101
2016-07-14,240.101
2016-07-15,240.101
2016-07-18,240.101
2016-07-19,240.101
2016-07-20,240.101
2016-07-21,240.101
2016-07-22,240.101
2016-07-25,240.101
2016-07-26,240.101
2016-07-27,240.101
2016-07-28,240.101
2016-07-29,240.101
2016-08-01,240.545
2016-08-02,240.545
2016-08-03,240.545
2016-08-04,240.545
2016-08-05,240.545
2016-08-08,240.545
2016-08-09,240.545
2016-08-10,240.545
2016-08-11,240.545
2016-08-12,240.545
2016-08-15,240.545
2016-08-16,240.545
2016-08-17,240.545
2016-08-18,240.545
2016-08-19,240.545
2016-08-22,240.545
2016-08-23,240.545
2016-08-24,240.545
2016-08-25,240.545
2016-08-26,240.545
2016-08-29,240.545
2016-08-30,240.545
2016-08-31,240.545
2016-09-01,241.176
2016-09-02,241.176
2016-09-05,241.176
2016-09-06,241.176
2016-09-07,241.176
2016-09-08,241.176
2016-09-09,241.176
2016-09-12,241.176
2016-09-13,241.176
2016-09-14,241.176
2016-09-15,241.176
2016-09-16,241.176
