,CPI_US
2016-09-19,241.176
2016-09-20,241.176
2016-09-21,241.176
2016-09-22,241.176
2016-09-23,241.176
2016-09-26,241.176
2016-09-27,241.176
2016-09-28,241.176
2016-09-29,241.176
2016-09-30,241.176
2016-10-03,241.741
2016-10-04,241.741
2016-10-05,241.741
2016-10-06,241.741
2016-10-07,241.741
2016-10-10,241.741
2016-10-11,241.741
2016-10-12,241.741
2016-10-13,241.741
2016-10-14,241.741
2016-10-17,241.741
2016-10-18,241.741
2016-10-19,241.741
2016-10-20,241.741
2016-10-21,241.741
2016-10-24,241.741
2016-10-25,241.741
2016-10-26,241.741
2016-10-27,241.741
2016-10-28,241.741
2016-10-31,241.741
2016-11-01,242.026
2016-11-02,242.026
2016-11-03,242.026
2016-11-04,242.026
2016-11-07,242.026
2016-11-08,242.026
2016-11-09,242.026
2016-11-10,242.026
2016-11-11,242.026
2016-11-14,242.026
2016-11-15,242.026
2016-11-16,242.026
2016-11-17,242.026
2016-11-18,242.026
2016-11-21,242.026
2016-11-22,242.026
2016-11-23,242.026
2016-11-24,242.026
2016-11-25,242.026
2016-11-28,242.026
2016-11-29,242.026
2016-11-30,242.026
2016-12-01,242.637
2016-12-02,242.637
2016-12-05,242.637
2016-12-06,242.637
2016-12-07,242.637
2016-12-08,242.637
2016-12-09,242.637
2016-12-12,242.637
2016-12-13,242.637
2016-12-14,242.637
2016-12-15,242.637
2016-12-16,242.637
2016-12-19,242.637
2016-12-20,242.637
2016-12-21,242.637
2016-12-22,242.637
2016-12-23,242.637
2016-12-26,242.637
2016-12-27,242.637
2016-12-28,242.637
2016-12-29,242.637
2016-12-30,242.637
2017-01-02,243.618
2017-01-03,243.618
2017-01-04,243.618
2017-01-05,243.618
2017-01-06,243.618
2017-01-09,243.618
2017-01-10,243.618
2017-01-11,243.618
2017-01-12,243.618
2017-01-13,243.618
2017-01-16,243.618
2017-01-17,243.618
2017-01-18,243.618
2017-01-19,243.618
2017-01-20,243.618
2017-01-23,243.618
2017-01-24,243.618
2017-01-25,243.618
2017-01-26,243.618
2017-01-27,243.618
2017-01-30,243.618
2017-01-31,243.618
2017-02-01,244.006
2017-02-02,244.006
2017-02-03,244.006
2017-02-06,244.006
2017-02-07,244.006
2017-02-08,244.006
2017-02-09,244.006
2017-02-10,244.006
2017-02-13,244.006
2017-02-14,244.006
2017-02-15,244.006
2017-02-16,244.006
2017-02-17,244.006
2017-02-20,244.006
2017-02-21,244.006
2017-02-22,244.006
2017-02-23,244.006
2017-02-24,244.006
2017-02-27,244.006
2017-02-28,244.006
2017-03-01,243.892
2017-03-02,243.892
2017-03-03,243.892
2017-03-06,243.892
2017-03-07,243.892
2017-03-08,243.892
2017-03-09,243.892
2017-03-10,243.892
2017-03-13,243.892
2017-03-14,243.892
2017-03-15,243.892
2017-03-16,243.892
2017-03-17,243.892
2017-03-20,243.892
2017-03-21,243.892
2017-03-22,243.892
2017-03-23,243.892
2017-03-24,243.892
2017-03-27,243.892
2017-03-28,243.892
2017-03-29,243.892
2017-03-30,243.892
2017-03-31,243.892
2017-04-03,244.193
2017-04-04,244.193
2017-04-05,244.193
2017-04-06,244.193
2017-04-07,244.193
2017-04-10,244.193
2017-04-11,244.193
2017-04-12,244.193
2017-04-13,244.193
2017-04-14,244.193
2017-04-17,244.193
2017-04-18,244.193
2017-04-19,244.193
2017-04-20,244.193
2017-04-21,244.193
2017-04-24,244.193
2017-04-25,244.193
2017-04-26,244.193
2017-04-27,244.193
2017-04-28,244.193
2017-05-01,244.004
2017-05-02,244.004
2017-05-03,244.004
2017-05-04,244.004
2017-05-05,244.004
2017-05-08,244.004
2017-05-09,244.004
2017-05-10,244.004
2017-05-11,244.004
2017-05-12,244.004
2017-05-15,244.004
2017-05-16,244.004
2017-05-17,244.004
2017-05-18,244.004
2017-05-19,244.004
2017-05-22,244.004
2017-05-23,244.004
2017-05-24,244.004
